24.87,25.0,25.19,69.0,1.0,254.0,-0.93
24.87,25.0,25.19,69.0,1.0,255.0,-0.54
24.87,25.0,25.19,69.0,1.0,255.0,-0.73
24.87,25.0,25.19,69.0,1.0,255.0,-2.0
24.87,25.0,25.19,69.0,1.0,255.0,-0.83
24.87,25.0,25.19,69.0,1.0,255.0,-1.71
24.87,25.0,25.19,69.0,1.0,255.0,-2.2
24.87,25.0,25.19,69.0,1.0,255.0,-2.79
24.87,25.0,25.19,69.0,1.0,255.0,-2.3
24.87,25.0,25.19,68.0,1.0,255.0,-3.18
24.87,25.0,25.19,69.0,1.0,255.0,-2.59
24.87,25.0,25.19,69.0,1.0,255.0,-2.59
24.87,25.0,25.19,69.0,1.0,255.0,-1.71
24.87,25.0,25.19,69.0,1.0,255.0,-1.61
24.87,25.0,25.19,69.0,1.0,255.0,-1.22
24.87,25.0,25.19,69.0,1.0,255.0,-2.3
24.87,25.0,25.19,69.0,1.0,255.0,-2.2
24.87,25.0,25.19,70.0,1.0,255.0,-1.71
24.87,25.0,25.19,69.0,1.0,255.0,-3.76
24.87,25.0,25.19,68.0,1.0,255.0,-1.81
24.87,25.0,25.19,69.0,1.0,255.0,-1.81
24.87,25.0,25.19,69.0,1.0,255.0,-1.81
24.87,25.0,25.19,69.0,1.0,255.0,0.54
24.87,25.0,25.19,69.0,1.0,255.0,-1.61
24.87,25.0,25.19,69.0,1.0,255.0,-2.0
24.87,25.0,25.19,69.0,1.0,255.0,-1.71
24.87,25.0,25.19,69.0,1.0,255.0,-2.39
24.87,25.0,25.19,69.0,1.0,255.0,-2.79
24.87,25.0,25.19,69.0,1.0,255.0,-1.52
24.87,25.0,25.19,69.0,1.0,255.0,-2.39
24.87,25.0,25.19,69.0,1.0,255.0,-2.3
24.87,25.0,25.19,69.0,1.0,255.0,-1.52
24.87,25.0,25.19,69.0,1.0,255.0,-2.0
24.87,25.0,25.19,69.0,1.0,255.0,-2.1
24.87,25.0,25.19,69.0,1.0,255.0,-2.0
24.87,25.0,25.19,69.0,1.0,255.0,-2.0
24.87,25.0,25.19,69.0,1.0,255.0,-2.88
24.87,25.0,25.19,69.0,1.0,254.0,-2.59
24.87,25.0,25.19,68.0,1.0,255.0,-2.49
24.87,25.0,25.19,68.0,1.0,255.0,-0.64
24.87,25.0,25.19,69.0,1.0,255.0,-1.22
24.87,25.0,25.19,69.0,1.0,255.0,-1.52
24.87,25.0,25.19,69.0,1.0,255.0,-2.0
24.87,25.0,25.19,69.0,1.0,255.0,-1.71
